0|50,000,000+
1|10,000+
2|5.3M
3|1,000,000+
4|500,000+
5|100,000+
6|1,000,000+
7|1,000,000+
8|50,000,000+
9|10,000,000+
10|100,000+
11|50,000,000+
12|1,000,000+
13|5,000,000+
14|5,000,000+
15|5,000,000+
16|10,000,000+
17|10,000,000+
18|10,000+
19|100,000+
20|1,000,000+
21|500,000,000+
22|1,000,000+
23|10,000,000+
24|1,000,000+
25|10,000,000+
26|50,000+
27|100,000+
28|10,000,000+
29|10,000+
30|100,000,000+
31|50,000+
32|10,000+
33|10,000,000+
34|10,000,000+
35|1,000,000+
36|1,000,000+
37|100,000+
38|10,000+
39|100,000+
40|100,000,000+
41|10,000,000+
42|1,000,000+
43|50,000+
44|100,000+
45|50,000+
46|100,000+
47|50,000+
48|1,000,000+
49|10,000,000+
50|5,000,000+
51|10,000,000+
52|500,000+
53|500,000,000+
54|5,000,000,000+
55|10,000,000+
56|10,000,000+
57|500,000+
58|10,000,000+
59|100,000,000+
60|1,000,000+
61|100,000+
62|10,000+
63|1,000+
64|10,000,000+
65|50,000,000+
66|5,000,000+
67|10,000,000+
68|100,000,000+
69|100,000+
70|1,000,000,000+
71|1,000,000+
72|5,000,000+
73|5,000,000+
74|10,000,000+
75|100,000,000+
76|1,000,000+
77|1,000,000+
78|50,000,000+
79|1,000,000+
80|100,000,000+
81|5,000,000+
82|100,000+
83|50,000+
84|5,000,000+
85|1,000,000+
86|1,000,000+
87|500,000,000+
88|500,000+
89|500,000,000+
90|100,000+
91|10,000+
92|100,000,000+
93|100,000,000+
94|50,000,000+
95|1,000,000,000+
96|1,000,000+
97|10,000,000+
98|100,000,000+
99|1,000,000+
100|Varies with device
101|5,000,000+
102|10,000,000+
103|5,000,000+
104|100,000,000+
105|100,000,000+
106|1,000,000+
107|10,000,000+
108|10,000,000+
109|500,000,000+
110|10,000,000+
111|1,000,000+
112|10,000,000+
113|100,000+
114|10,000,000+
115|10,000+
116|1,000,000+
117|1,000,000,000+
118|100,000+
119|1,000,000,000+
120|10,000+
121|10,000+
122|1,000,000+
123|100,000,000+
124|500,000,000+
125|100,000,000+
126|10,000,000+
127|10,000,000+
128|5,000,000+
129|10,000,000+
130|500,000+
131|50,000,000+
132|10,000,000,000+
133|10,000,000+
134|50,000+
135|1,000,000+
136|10,000+
137|5,000,000+
138|10,000,000+
139|10,000+
140|1,000,000+
141|10,000,000+
142|100,000+
143|1,000,000,000+
144|100,000+
145|10,000,000+
146|50,000+
147|1,000,000+
148|1,000,000+
149|1,000,000+
150|50,000+
151|5,000,000+
152|10,000,000+
153|100,000+
154|1,000,000+
155|100,000+
156|100,000,000+
157|50,000,000+
158|50,000+
159|1,000,000+
160|100,000,000+
161|1,000,000+
162|100,000+
163|100,000+
164|100,000,000+
165|5,000,000+
166|1,000,000+
167|5,000,000+
168|1,000,000+
169|500,000+
170|1,000+
171|1,000,000+
172|10,000,000+
173|100,000,000+
174|100,000+
175|10,000+
176|5.2M
177|500,000+
178|10,000,000+
179|1,000+
180|500,000,000+
181|1,000,000,000+
182|100,000,000+
183|10,000+
184|5,000,000+
185|10,000+
186|500,000,000+
187|5,000,000+
188|500,000,000+
189|1,000,000,000+
190|100,000,000+
191|500,000+
192|100,000+
193|100,000+
194|10,000,000+
195|1,000,000,000+
196|10,000,000+
197|50,000+
198|100,000,000+
199|50,000,000+
200|5,000,000+
201|10,000,000+
202|1,000,000+
203|1,000,000+
204|10,000,000+
205|1,000,000,000+
206|5,000,000+
207|100,000+
208|1,000,000+
209|10,000+
210|1,000,000,000+
211|1,000,000+
212|1,000,000+
213|1,000,000+
214|1,000,000+
215|10,000+
216|10,000,000+
217|1,000,000+
218|100,000+
219|1,000,000+
220|100,000+
221|10,000,000+
222|1,000,000,000+
223|10,000+
224|1,000,000+
225|5,000,000+
226|50,000+
227|500,000,000+
228|100,000+
229|10,000,000+
230|1,000,000+
231|5,000,000+
232|5,000,000+
233|10,000,000+
234|10,000,000+
235|1,000,000+
236|1,000,000+
237|10,000+
238|1,000+
239|100,000,000+
240|10,000+
241|50,000+
242|50,000,000+
243|1,000,000+
244|100,000,000+
245|100,000+
246|500,000,000+
247|10,000,000+
248|1,000,000+
249|10,000,000+
250|1,000,000+
251|1,000+
252|10,000,000+
253|500,000+
254|5,000,000+
255|5,000,000+
256|1,000,000+
257|500,000,000+
258|100,000+
259|500+
260|1,000,000+
261|500,000,000+
262|500,000,000+
263|1,000,000,000+
264|50,000,000+
265|500,000,000+
266|100,000+
267|10,000,000+
268|10,000,000+
269|100,000,000+
270|1,000,000+
271|100,000+
272|10,000,000+
273|5,000,000,000+
274|50,000,000+
275|1,000,000+
276|10,000,000+
277|50,000,000+
278|10,000,000+
279|10,000,000+
280|10,000,000+
281|1,000+
282|5,000,000+
283|10,000,000+
284|5,000,000+
285|100,000+
286|10,000,000+
287|100,000,000+
288|500,000,000+
289|1,000,000+
290|500,000+
291|500,000+
292|500,000+
293|50,000,000+
294|500,000+
295|5,000,000+
